"id","trial","type","explain","card1","card2","card3","trialid","memory",,,,,,,,,,
"pa6.04.c",7,2,0,3232,2333,1131,20135,0,,,,,,,,,,
"pa6.04.c",8,7,0,2122,1122,3122,13822,1,,,,,,,,,,
"pa6.04.c",9,0,0,1323,3131,2212,55137,0,,,,,,,,,,
"pa6.04.c",10,4,0,2133,3112,1121,11155,0,,,,,,,,,,
"pa6.04.c",11,-1,0,1333,2213,3121,59632,0,,,,,,,,,,
"pa6.04.c",12,-11,0,2313,1121,1221,9859,1,,,,,,,,,,
"pa6.04.c",13,0,0,1311,2233,3122,46848,1,,,,,,,,,,
"pa6.04.c",14,14,0,1231,1232,1233,39561,0,,,,,,,,,,
"pa6.04.c",15,1,0,3312,1132,2222,22337,0,,,,,,,,,,
"pa6.04.c",16,11,0,3233,3333,3133,84468,0,,,,,,,,,,
"pa6.04.c",17,0,0,3111,2233,1322,53808,1,,,,,,,,,,
"pa6.04.c",18,-14,0,2223,1312,2321,48557,1,,,,,,,,,,
"pa6.04.c",19,-4,0,1111,3332,2123,2031,1,,,,,,,,,,
"pa6.04.c",20,8,0,3332,3113,3221,83204,0,,,,,,,,,,
"pa6.04.c",21,13,0,3122,3132,3112,82770,0,,,,,,,,,,
"pa6.04.c",22,-7,0,2221,3132,1131,19657,1,,,,,,,,,,
"pa6.04.c",23,0,0,1133,2312,3221,25105,0,,,,,,,,,,
"pa6.04.c",24,-2,0,1331,1133,1222,23413,1,,,,,,,,,,
"pa6.05.a",1,15,1,1212,1212,1212,85351,0,,,,,,,,,,
"pa6.05.a",2,-1,1,3232,2313,1123,17257,0,,,,,,,,,,
"pa6.05.a",3,14,1,3321,3322,3323,85301,0,,,,,,,,,,
"pa6.05.a",4,-11,1,2221,2321,3133,74146,0,,,,,,,,,,
"pa6.05.a",5,2,0,1113,2311,3212,8633,0,,,,,,,,,,
"pa6.05.a",6,-8,0,3133,1313,1223,37772,0,,,,,,,,,,
"pa6.05.a",7,-13,0,1111,3331,1322,1505,0,,,,,,,,,,
"pa6.05.a",8,7,0,2233,3233,1233,44970,0,,,,,,,,,,
"pa6.05.a",9,0,0,2311,1222,3133,36802,0,,,,,,,,,,
"pa6.05.a",10,-11,0,2113,3211,2321,63982,0,,,,,,,,,,
"pa6.05.a",11,-1,0,1333,1221,1111,828,0,,,,,,,,,,
"pa6.05.a",12,14,0,2231,2233,2232,76182,0,,,,,,,,,,
"pa6.05.a",13,4,0,3213,1222,2231,36697,0,,,,,,,,,,
"pa6.05.a",14,0,0,3332,2213,1121,11308,0,,,,,,,,,,
"pa6.05.a",15,-14,0,3321,2313,3112,79559,0,,,,,,,,,,
"pa6.05.a",16,1,0,2233,3113,1323,55406,0,,,,,,,,,,
"pa6.05.a",17,-4,0,2323,1132,3311,22681,0,,,,,,,,,,
"pa6.05.a",18,0,0,3212,1133,2321,25168,0,,,,,,,,,,
"pa6.05.a",19,11,0,1333,1133,1233,23673,0,,,,,,,,,,
"pa6.05.a",20,-2,0,1231,1332,1123,15660,0,,,,,,,,,,
"pa6.05.a",21,-7,0,2133,1131,3213,19491,0,,,,,,,,,,
"pa6.05.a",22,8,0,1123,1231,1312,15654,0,,,,,,,,,,
"pa6.05.a",23,13,0,3331,3311,3321,85252,0,,,,,,,,,,
"pa6.05.a",24,0,0,2111,1322,3233,53077,0,,,,,,,,,,
"pa6.05.b",1,15,1,3112,3112,3112,85350,0,,,,,,,,,,
"pa6.05.b",2,-1,1,3133,1311,2223,46741,0,,,,,,,,,,
"pa6.05.b",3,14,1,2231,2233,2232,76182,0,,,,,,,,,,
"pa6.05.b",4,-11,1,3123,3212,1323,55834,0,,,,,,,,,,
"pa6.05.b",5,7,0,2221,1221,3221,34370,0,,,,,,,,,,
"pa6.05.b",6,0,0,2332,1123,3211,17400,1,,,,,,,,,,
"pa6.05.b",7,-13,0,2332,2221,1311,46652,0,,,,,,,,,,
"pa6.05.b",8,-8,0,1212,3112,1312,28725,1,,,,,,,,,,
"pa6.05.b",9,2,0,1113,3211,2312,8666,1,,,,,,,,,,
"pa6.05.b",10,-11,0,3331,1211,3132,27992,1,,,,,,,,,,
"pa6.05.b",11,-1,0,3333,3122,3212,83660,0,,,,,,,,,,
"pa6.05.b",12,0,0,2232,1313,3121,50411,0,,,,,,,,,,
"pa6.05.b",13,14,0,1213,1211,1212,25681,0,,,,,,,,,,
"pa6.05.b",14,4,0,2231,3212,1223,38841,1,,,,,,,,,,
"pa6.05.b",15,11,0,2212,2312,2112,62283,0,,,,,,,,,,
"pa6.05.b",16,1,0,3132,1312,2222,48531,1,,,,,,,,,,
"pa6.05.b",17,-14,0,2121,2331,1131,19242,0,,,,,,,,,,
"pa6.05.b",18,0,0,3213,2132,1321,51761,1,,,,,,,,,,
"pa6.05.b",19,-4,0,3323,1132,2111,21743,1,,,,,,,,,,
"pa6.05.b",20,-2,0,1332,3331,2323,58648,1,,,,,,,,,,
